Operation,Param #1,Param #2,Param #3,Param #4,RequiresRegs,RequiresInReduce,LatencyOf,LatencyInReduce,BuiltInLatency,
VerilogBlackbox,lat,,,,0,0,lat,lat,0
isAllocation,,,,,0,0,0,0,0,
FieldApply,,,,,0,0,0,0,0,
VectorApply,,,,,0,0,0,0,0,
VectorSlice,,,,,0,0,0,0,0,
VectorConcat,,,,,0,0,0,0,0,
DataAsBits,,,,,0,0,0,0,0,
BitsAsData,,,,,0,0,0,0,0,
VarRegNew,,,,,0,0,0,0,0,
VarRegRead,,,,,0,0,0,0,0,
VarRegWrite,,,,,0,0,0,0,0,
LUTBankedRead,,,,,1,1,1,1,0,
LUTRead,,,,,1,1,1,1,0,
RegRead,,,,,0,0,0,0,0,
RegWrite,,,,,0,0,1,1,0,
FIFORegEnq,,,,,0,0,1,1,0,
RegReset,,,,,0,0,1,1,0,
RegFileVectorRead,e,,,,1,1,2,2,0,
RegFileVectorWrite,,,,,0,0,1,1,0,
RegFileShiftIn,,,,,0,0,1,1,0,
StreamInBankedRead,,,,,1,1,1,1,0,
StreamOutBankedWrite,,,,,0,0,0,0,0,
StreamInRead,,,,,1,1,1,1,0,
StreamOutWrite,,,,,0,0,0,0,0,
BufferedOutWrite,,,,,0,0,0,0,0,
FIFOBankedEnq,,,,,0,0,1,1,0,
FIFOBankedDeq,,,,,1,1,2,2,0,
LIFOBankedPush,,,,,0,0,1,1,0,
LIFOBankedPop,,,,,1,1,2,2,0,
FIFOEnq,,,,,0,0,1,1,0,
FIFODeq,,,,,1,1,2,2,0,
LIFOPush,,,,,0,0,1,1,0,
LIFOPop,,,,,1,1,2,2,0,
FIFONumel,,,,,0,0,0,0,0,
FIFOAlmostEmpty,,,,,0,0,0,0,0,
FIFOAlmostFull,,,,,0,0,0,0,0,
FIFOEmpty,,,,,0,0,0,0,0,
FIFOFull,,,,,0,0,0,0,0,
SRAMBankedAsyncRead,,,,,1,1,2,2,0,
